,divide a single physical object into constituent parts,divide a set of elements into groups,mark the boundary,isolate constituent parts of a non-physical object,put into containers,cause to move or be apart,distribute among others,distribute among themselves
English: divide,X,X,X,X,X,.,X,X
English: share,.,.,.,.,.,.,X,X
English: split,X,X,X,X,.,X,X,X
English: separate,.,X,X,X,X,X,.,.
German : einstecken,.,.,.,.,.,X,.,X
French : répartir,X,X,.,.,.,.,X,.
English : dispense,.,.,.,.,X,X,X,.
English : allot,.,.,.,.,.,X,X,X
English : parcel,.,.,.,.,X,.,X,X
English : portion,.,.,.,.,X,X,X,X
Spanish : segmentar,X,X,.,X,X,.,X,.
English : demarcate,.,X,X,.,.,.,.,.
French : distribuer,.,X,.,.,.,.,X,X
English : sever,X,X,.,.,X,X,.,.
English : disband,.,X,.,.,.,X,.,X
English : scatter,.,X,.,.,X,X,X,.
English : dissipate,.,X,.,.,.,X,X,X
English : apportion,.,X,.,.,X,.,X,X
English : compartmentalize,.,X,.,X,X,X,.,X
English : assign,.,X,.,.,X,X,X,X
English : categorize,.,X,X,X,.,.,X,.
English : classify,.,X,.,X,.,.,X,X
English : sift,.,X,.,X,.,X,X,.
English : allocate,.,X,.,X,X,X,X,X
German : trennen,.,X,X,.,.,X,.,X
English : delimit,.,X,X,.,X,.,X,.
English : partition,.,X,X,.,.,X,X,X
English : isolate,.,X,X,.,.,X,X,.
French : découper,.,X,X,.,X,X,.,X
French : départager,.,X,X,.,X,X,X,X
French : séparer,.,X,X,.,X,X,X,.
German : abgrenzen,.,X,X,X,.,X,.,X
Italian : delimitare,.,X,X,X,.,X,X,.
German : unterteilen,.,X,X,X,X,X,.,X
German : untergliedern,.,X,X,X,X,X,X,.
English : chop,X,.,.,.,.,X,.,.
English : cleave,X,.,.,.,.,X,.,X
English : carve,X,.,.,.,.,X,X,.
English : slice,X,.,.,.,.,X,X,X
English : pack,X,.,.,.,X,X,.,.
English : cut,X,.,.,.,X,X,.,X
English : dice,X,.,.,.,X,X,X,.
English : fill,X,.,.,.,X,.,X,X
English : mince,X,.,.,.,X,X,X,X
English : shred,X,.,.,X,X,X,.,.
English : fracture,X,.,.,X,.,X,.,X
English : disjoint,X,.,.,X,X,X,.,X
English : saw,X,.,X,.,.,X,.,.
German : zerteilen,X,.,X,.,.,X,.,X
French : trancher,X,.,X,.,.,X,X,.
French : sectionner,X,.,X,.,.,X,X,X
Spanish : cortar,X,.,X,.,X,X,.,.
Spanish : dividir,X,X,X,.,X,X,.,X
Italian : tagliare,X,.,X,.,X,X,X,.
Spanish : repartir,X,.,X,.,X,.,X,X
Spanish : desmembrar,X,.,X,.,X,X,.,X
French : délimiter,X,.,X,X,.,.,.,.
English : tear,X,.,X,X,.,X,.,.
English : disperse,X,X,.,.,.,X,X,.
Spanish : portionar,X,X,.,.,X,X,X,.
German : aufteilen,X,X,.,X,X,X,.,.
German : zerschneiden,X,X,.,X,.,X,X,.
