,divide a single physical object into constituent parts,divide a set of elements into groups,mark the boundary,isolate constituent parts of a non-physical object,put into containers,cause to move or be apart,distribute among others,distribute among themselves
English: divide,X,X,X,X,X,.,X,X
English: share,.,.,.,.,.,.,X,X
English: split,X,X,X,X,.,X,X,X
English: separate,.,X,X,X,X,X,.,.
Spanish : repartirse,.,.,.,.,.,.,.,X
French : dispenser,.,.,.,.,X,.,X,.
English : sever,X,X,.,.,.,X,.,.
English : allot,.,.,.,.,X,.,X,X
English : portion,.,.,.,.,X,X,X,X
English : parcel,X,.,.,.,X,X,.,X
English : distribute,X,X,X,X,X,X,X,.
English : dissect,X,.,.,X,.,X,.,.
English : apportion,.,.,.,X,X,.,X,X
English : partition,.,X,X,X,.,X,.,X
English : spread,.,.,.,X,X,X,X,.
English : deal,.,.,.,X,X,X,X,X
English : allocate,.,X,.,X,X,.,.,X
English : demarcate,.,X,X,.,.,.,.,.
English : carve,X,X,.,.,X,.,.,X
English : assign,.,X,.,.,X,.,X,.
English : dole,.,X,.,.,X,.,X,X
English : divvy,.,X,.,.,X,X,X,X
English : classify,.,X,.,X,.,X,X,.
English : prorate,.,X,.,X,X,.,X,X
English : categorize,.,X,.,X,.,X,X,X
English : sort,.,X,.,X,X,X,X,.
English : batch,.,X,.,X,X,X,X,X
English : section,X,X,X,.,X,.,.,X
English : dispense,.,X,X,.,X,.,X,.
English : mete,.,X,X,.,X,.,X,X
English : segregate,.,X,X,.,X,X,.,.
English : delimit,.,X,X,.,.,X,X,.
English : dispatch,.,X,X,.,X,X,X,.
French : répartir,.,X,X,X,.,.,X,.
French : découper,.,X,X,X,X,X,X,.
English : compartmentalize,.,X,X,X,X,.,.,X
English : slice,X,.,.,.,X,.,X,.
English : cut,X,.,.,.,.,X,X,X
English : chop,X,.,.,.,X,X,X,X
English : cleave,X,.,.,X,.,X,.,X
English : fragment,X,.,.,X,.,X,X,.
English : shard,X,.,.,X,.,.,X,X
English : fracture,X,.,.,X,.,X,X,X
English : mince,X,.,.,X,X,X,.,.
English : dice,X,.,.,X,X,X,.,X
English : fillet,X,.,.,X,X,X,X,.
English : bisect,X,.,X,.,.,X,.,.
English : rift,X,.,X,.,.,X,.,X
English : transect,X,.,X,.,.,X,X,.
English : quarter,X,.,X,.,X,.,X,X
English : gouge,X,.,X,.,X,X,.,.
English : sunder,X,.,X,.,X,X,.,X
English : excise,X,.,X,.,X,X,X,.
English : dismember,X,.,X,X,.,X,.,.
English : disjoin,X,.,X,X,.,X,.,X
English : subdivide,X,.,X,X,X,X,.,.
English : scatter,X,X,.,.,.,X,X,.
English : ration,X,X,.,.,X,.,X,X
English : splinter,X,X,.,.,X,X,.,X
English : hack,X,X,.,.,.,X,X,X
English : grind,X,X,.,.,X,X,X,.
English : shred,X,X,.,.,X,X,X,X
English : analyze,X,X,.,X,.,.,.,.
English : disassemble,X,X,.,X,.,X,.,X
English : disintegrate,X,X,.,X,.,X,X,.
German : teilen,X,X,.,X,.,.,X,X
