,divide a single physical object into constituent parts,divide a set of elements into groups,mark the boundary,isolate constituent parts of a non-physical object,put into containers,cause to move or be apart,distribute among others,distribute among themselves
English: divide,X,X,X,X,X,.,X,X
English: share,.,.,.,.,.,.,X,X
English: split,X,X,X,X,.,X,X,X
English: separate,.,X,X,X,X,X,.,.
Spanish : repartirse,.,.,.,.,.,.,.,X
French : dispenser,X,.,.,.,X,.,X,.
English : part,X,.,.,.,.,X,X,.
English : sever,X,.,.,.,.,X,.,X
English : disperse,.,X,.,.,.,X,X,.
English : allocate,.,.,.,.,.,X,X,X
English : allot,.,.,.,.,X,.,X,X
English : sift,.,X,.,.,X,X,.,.
English : compartmentalize,X,.,.,X,X,.,.,.
English : apportion,.,.,.,X,.,.,X,X
English : parcel,.,.,.,X,X,.,X,.
English : dissociate,X,.,.,X,.,X,.,.
English : cleave,X,.,.,X,.,X,.,X
English : distribute,.,.,.,X,.,X,X,X
English : portion,.,.,.,X,X,.,X,X
English : categorize,.,X,.,X,X,X,.,.
English : demarcate,.,X,X,.,.,.,.,.
English : deal,.,X,.,.,.,.,X,X
English : scatter,.,X,.,.,X,X,.,X
English : sort,.,X,.,.,.,X,X,X
English : batch,.,X,.,.,X,.,X,.
English : assign,.,X,.,.,X,X,X,X
English : classify,.,X,.,.,X,X,X,.
English : subdivide,.,X,.,X,X,.,.,X
English : segment,.,X,.,X,X,.,X,.
English : prorate,.,X,.,X,.,.,X,X
English : partition,.,X,X,X,X,.,X,X
English : carve,X,X,.,X,X,X,.,X
English : fence,.,X,X,.,.,X,.,X
English : boundary,.,X,X,.,.,.,X,.
English : delimit,.,X,X,.,.,X,X,.
English : section,.,X,X,.,X,X,.,.
English : isolate,.,X,X,X,X,X,.,X
English : cut,X,.,.,.,.,X,X,X
English : package,X,.,.,.,X,.,X,X
English : chop,X,.,.,.,X,X,X,.
English : slice,X,.,.,.,X,X,.,X
English : slash,X,.,.,.,X,X,X,X
English : fragment,X,.,.,X,.,X,X,.
English : fracture,X,.,.,X,.,X,X,X
English : cell,X,.,.,X,X,X,.,X
English : containerize,X,.,.,X,X,X,X,.
English : shatter,X,.,.,X,X,X,X,X
German : trennen,X,.,X,.,.,X,.,.
German : abgrenzen,X,.,X,.,.,X,.,X
German : zerteilen,X,.,X,.,.,X,X,.
German : teilen,X,.,X,.,.,.,X,X
German : scheiden,X,.,X,.,.,X,X,X
German : grenzen,X,.,X,.,X,X,.,.
German : eingrenzen,X,.,X,.,X,X,X,.
German : begrenzen,X,.,X,X,.,X,.,.
German : abmarken,X,.,X,X,.,X,X,.
French : découper,X,.,X,X,X,X,.,.
German : zerschneiden,X,.,X,X,X,X,X,.
French : couper,X,X,.,.,X,X,.,.
French : séparer,X,X,X,.,.,X,.,X
French : morceler,X,X,.,.,X,X,X,.
French : fractionner,X,X,.,.,.,X,X,X
