,divide a single physical object into constituent parts,divide a set of elements into groups,mark the boundary,isolate constituent parts of a non-physical object,put into containers,cause to move or be apart,distribute among others,distribute among themselves
English: divide,X,X,X,X,X,.,X,X
English: share,.,.,.,.,.,.,X,X
English: split,X,X,X,X,.,X,X,X
English: separate,.,X,X,X,X,X,.,.
French : se répartir,.,.,.,.,.,.,.,X
English : allot,.,X,.,.,.,.,X,.
English : disperse,.,X,.,.,.,X,.,.
English : portion,.,.,.,.,X,.,X,.
English : parcel,.,.,.,.,X,.,X,X
English : dispense,.,.,.,.,X,X,X,.
English : distribute,.,.,.,.,X,X,X,X
English : categorize,.,X,.,X,.,.,X,.
English : demarcate,X,.,X,.,.,.,.,.
English : apportion,.,X,X,.,.,.,X,X
English : boundary,.,.,X,.,.,.,X,.
Spanish : repartir,.,.,X,.,X,.,X,X
English : sever,X,.,X,.,.,X,.,.
English : partition,.,X,X,.,.,X,.,X
English : dissever,X,.,X,.,.,X,X,.
German : teilen,X,.,X,.,X,.,.,X
English : allocate,.,X,X,.,X,.,X,.
English : section,X,.,X,.,X,X,.,.
English : segregate,.,X,X,.,X,X,.,X
English : compartmentalize,.,.,X,X,X,X,X,.
English : subdivide,.,X,X,X,.,.,.,X
English : classify,.,X,X,X,.,.,X,X
English : dissociate,.,X,X,X,.,X,.,X
English : fracture,.,.,X,X,.,X,X,X
English : compartment,.,.,X,X,X,.,.,X
English : dole,.,.,X,X,X,.,X,X
English : containerize,.,.,X,X,X,X,.,X
English : deal,.,X,.,.,X,.,X,X
English : scatter,X,X,.,.,.,X,.,X
English : spread,.,X,.,.,X,X,X,.
Italian : spartire,.,X,.,.,.,X,X,X
English : sort,X,X,.,.,X,X,.,X
English : batch,.,X,.,.,X,X,X,X
English : sift,.,X,.,X,X,X,X,.
English : carve,X,X,X,.,.,X,X,.
Spanish : distribuir,.,X,X,.,X,.,X,X
English : assign,.,X,X,.,X,X,X,.
English : prorate,.,X,X,.,X,X,X,X
English : slice,X,.,.,.,X,X,X,.
English : cut,X,.,.,.,.,X,X,X
English : package,X,.,.,.,X,X,X,X
English : chop,X,.,.,X,.,X,.,.
English : cleave,X,.,.,X,.,X,X,.
English : shard,X,.,.,X,X,X,.,.
English : encapsulate,X,.,.,X,X,.,X,.
English : fragment,X,.,.,X,X,X,X,.
German : zerteilen,X,.,X,.,X,.,X,X
English : sunder,X,.,X,.,X,X,.,X
English : rend,X,.,X,.,.,X,X,X
French : découper,X,.,X,.,X,X,X,X
English : bisect,X,.,X,X,.,.,.,.
English : dissect,X,.,X,X,.,.,X,.
English : rip,X,.,X,X,.,X,.,.
English : slash,X,.,X,X,.,X,X,.
English : dice,X,.,X,X,X,.,.,.
English : excise,X,.,X,X,X,X,.,.
English : box,X,X,.,.,X,.,.,.
English : enscone,X,X,.,.,X,X,.,.
English : fillet,X,X,.,X,.,.,.,.
English : gut,X,X,.,X,.,X,.,.
English : mince,X,X,.,X,X,.,.,.
English : shred,X,X,.,X,X,X,.,.
