,divide a single physical object into constituent parts,divide a set of elements into groups,mark the boundary,isolate constituent parts of a non-physical object,put into containers,cause to move or be apart,distribute among others,distribute among themselves
English: divide,X,X,X,X,X,.,X,X
English: share,.,.,.,.,.,.,X,X
English: split,X,X,X,X,.,X,X,X
English: separate,.,X,X,X,X,X,.,.
French : se répartir,.,X,.,.,.,.,.,X
English : allot,.,X,.,.,.,.,X,.
English : displace,X,.,.,.,.,X,.,.
English : part,X,X,.,.,.,X,.,X
English : dispense,.,.,.,.,X,X,X,.
English : distribute,.,.,.,.,X,X,X,X
English : deal,.,X,.,.,X,.,.,X
English : parcel,X,.,.,.,X,X,.,X
Spanish : segmentar,X,.,.,X,X,.,X,.
English : apportion,.,.,.,X,.,.,X,X
English : sever,X,.,.,X,.,X,.,.
English : dissociate,.,.,.,X,.,X,.,X
English : scatter,.,.,.,X,X,X,X,.
English : sift,.,.,.,X,X,X,X,X
English : compartmentalize,.,.,X,X,X,.,.,X
English : sort,.,X,.,X,X,X,.,X
English : demarcate,.,X,X,.,.,.,.,.
English : border,.,.,X,.,.,X,.,X
English : delimit,.,X,X,.,.,.,X,.
English : detach,.,.,X,.,.,X,X,.
English : isolate,.,.,X,X,.,X,X,X
German : abgrenzen,.,X,X,.,X,X,.,.
English : containerize,.,.,X,.,X,X,.,X
English : package,.,.,X,.,X,.,X,.
English : batch,.,.,X,.,X,X,X,X
English : partition,.,X,X,X,X,X,X,.
English : cleave,X,.,X,X,.,X,.,X
English : categorize,.,.,X,X,X,X,X,.
English : classify,.,X,X,X,X,.,X,X
English : carve,X,.,X,X,X,X,.,X
English : section,.,.,X,X,X,X,X,X
English : allocate,.,X,.,.,X,.,X,X
English : dispel,.,X,.,.,X,X,X,.
English : dissever,.,X,.,.,X,X,X,X
English : subdivide,X,X,.,X,X,.,X,.
English : prorated,.,X,.,X,X,.,X,X
English : disseminate,.,X,.,X,X,X,X,.
English : divest,.,X,.,X,.,X,X,X
English : portion,.,X,X,.,X,X,X,.
English : disentangle,.,X,X,X,X,X,X,X
English : chop,X,X,.,.,X,X,.,.
English : fracture,X,.,.,X,.,X,.,X
English : slash,X,.,.,X,.,X,X,X
English : slice,X,.,.,X,X,X,.,X
English : fragment,X,.,.,X,X,X,X,X
English : shred,X,.,.,X,X,X,.,.
English : saw,X,.,X,.,.,X,.,.
English : tear,X,.,X,.,.,X,.,X
English : encase,X,.,X,.,X,X,.,.
English : cut,X,.,X,X,X,X,.,.
English : dice,X,X,.,.,X,.,.,X
English : crack,X,X,.,.,X,X,.,X
English : dissect,X,X,.,X,.,X,.,.
English : mince,X,X,.,X,X,X,.,.
German : zerteilen,X,X,X,.,X,X,.,.
German : trennen,X,X,X,X,.,X,.,.
German : zerlegen,X,X,X,X,X,X,.,.
