,divide a single physical object into constituent parts,divide a set of elements into groups,mark the boundary,isolate constituent parts of a non-physical object,put into containers,cause to move or be apart,distribute among others,distribute among themselves
English: divide,X,X,X,X,X,.,X,X
English: share,.,.,.,.,.,.,X,X
English: split,X,X,X,X,.,X,X,X
English: separate,.,X,X,X,X,X,.,.
French : se répartir,.,.,.,.,.,.,.,X
English : allot,.,X,.,.,.,.,X,.
English : disperse,.,X,.,.,.,X,.,.
English : portion,.,.,.,.,X,.,X,.
English : parcel,.,.,.,.,X,.,X,X
English : pack,.,.,.,.,X,X,X,.
English : dispense,.,.,.,.,X,X,X,X
English : dissect,X,.,.,X,.,.,.,.
English : apportion,.,.,.,X,.,.,X,X
English : allocate,.,X,.,X,.,.,X,.
English : detach,X,.,.,X,.,X,.,.
English : sever,X,.,.,X,.,X,.,X
English : scatter,.,X,.,X,.,X,X,.
English : compartmentalize,X,.,.,X,X,.,.,.
English : categorize,.,X,.,X,X,.,.,X
English : distribute,.,X,.,X,X,.,X,X
English : sort,.,X,.,X,X,X,.,.
English : demarcate,.,X,X,.,.,.,.,.
English : deal,.,X,.,.,.,.,X,X
English : partition,.,X,X,.,.,X,.,X
English : spread,.,X,.,.,X,X,X,.
English : shed,.,X,.,.,.,X,X,X
English : batch,.,X,.,.,X,.,X,X
English : carve,X,X,.,.,X,X,.,X
English : dole,.,X,.,.,X,X,X,X
English : segregate,.,X,X,X,.,X,.,X
English : sift,.,X,.,X,.,X,X,X
English : class,.,X,.,X,X,X,.,X
English : redeploy,.,X,.,X,X,X,X,X
English : boundary,.,X,X,.,.,.,X,.
English : delimit,.,X,X,.,.,X,X,.
English : section,X,X,X,.,X,X,.,.
English : subdivide,.,X,X,.,X,.,.,X
English : fence,.,X,X,.,X,.,X,.
English : channel,.,X,X,.,X,X,X,.
English : slice,X,.,.,.,X,.,X,.
English : chop,X,.,.,.,X,.,X,X
English : cleave,X,.,.,.,.,X,X,.
English : fracture,X,.,.,.,.,X,X,X
English : shard,X,.,.,.,X,X,.,.
English : cut,X,.,.,.,X,X,X,.
English : mince,X,.,.,X,X,X,X,.
English : fragment,X,.,.,X,.,X,X,X
English : fillet,X,.,.,X,X,.,.,X
English : dice,X,.,.,X,X,X,X,X
English : shred,X,.,.,X,X,X,.,.
English : saw,X,.,X,.,X,X,.,.
English : tear,X,.,X,.,.,X,.,X
English : quarter,X,.,X,.,X,X,.,X
English : bisect,X,.,X,X,.,.,.,.
English : transect,X,.,X,X,.,.,.,X
English : rupture,X,.,X,X,.,X,.,.
English : rive,X,.,X,X,.,X,.,X
English : excise,X,.,X,X,X,X,.,.
English : gouge,X,.,X,X,X,X,.,X
Spanish : cortar,X,X,.,.,X,X,X,.
Spanish : repartir,X,X,.,.,X,.,X,X
French : découper,X,X,.,.,X,X,X,X
English : prune,X,X,.,X,X,X,.,.
Spanish : dividir,X,X,.,X,X,X,X,.
