,divide a single physical object into constituent parts,divide a set of elements into groups,mark the boundary,isolate constituent parts of a non-physical object,put into containers,cause to move or be apart,distribute among others,distribute among themselves
English: divide,X,X,X,X,X,.,X,X
English: share,.,.,.,.,.,.,X,X
English: split,X,X,X,X,.,X,X,X
English: separate,.,X,X,X,X,X,.,.
French : se répartir,.,.,.,.,.,.,.,X
English : allot,X,X,.,.,.,.,X,.
English : disperse,.,.,.,.,.,X,X,.
English : part,.,X,.,.,.,X,.,X
English : scatter,.,.,.,.,.,X,X,X
English : portion,X,.,.,.,X,.,X,.
English : parcel,.,.,.,.,X,.,X,X
English : pack,X,.,.,.,X,X,X,.
English : dispense,.,.,.,.,X,X,X,X
English : categorize,.,X,.,X,.,.,.,.
English : demarcate,.,X,X,.,.,.,.,.
English : apportion,.,X,.,.,.,.,X,X
English : distribute,.,X,.,.,.,X,X,.
English : deal,.,X,.,.,X,X,X,X
English : assign,.,X,.,.,X,.,X,.
English : disseminate,.,X,X,.,X,X,X,.
English : classify,.,X,.,X,.,X,.,X
English : segment,.,X,X,X,.,.,X,.
English : sow,.,X,.,X,.,X,X,.
English : radiate,.,X,.,X,.,X,X,X
Spanish : clasificar,.,X,.,X,X,.,X,X
English : compartmentalize,.,X,.,X,X,.,X,.
English : sort,.,X,.,X,X,X,X,.
English : spread,.,X,.,X,X,X,X,X
German : teilen,.,X,X,.,.,X,.,X
French : répartir,.,X,X,.,.,.,X,X
French : disséminer,.,X,X,.,.,X,X,X
French : distribuer,.,X,X,.,X,.,X,X
French : dispatcher,.,X,X,.,X,X,X,X
French : diffuser,.,X,X,X,.,X,X,.
English : catalog,.,X,X,X,X,.,X,.
English : systemic,.,X,X,X,X,X,X,.
English : slice,X,.,.,.,X,.,.,.
English : carve,X,.,.,.,X,X,.,X
English : chop,X,.,.,.,.,X,X,X
English : cut,X,.,.,.,X,X,X,X
English : fracture,X,.,.,X,.,X,.,.
English : shred,X,.,.,X,X,X,.,X
English : mince,X,.,.,X,X,X,X,.
Dutch : hakken,X,.,.,X,.,.,X,X
English : cleave,X,.,.,X,X,X,X,X
English : saw,X,.,X,.,.,X,.,.
English : sever,X,.,X,.,.,X,.,X
English : dice,X,.,X,.,X,X,.,.
English : section,X,.,X,X,X,.,.,X
English : fragment,X,.,X,X,.,X,.,.
English : fillet,X,X,.,.,X,.,.,.
English : dissect,X,X,.,X,.,.,.,X
English : partition,X,X,.,.,X,.,X,X
English : break,X,X,.,.,X,X,.,.
English : tear,X,X,.,.,.,X,.,X
English : crack,X,X,.,.,.,X,X,.
English : prorate,X,X,.,.,.,X,X,X
English : batch,X,X,.,.,X,.,X,.
English : quarter,X,X,.,.,X,X,X,.
English : subdivide,X,X,.,X,X,X,X,X
