,divide a single physical object into constituent parts,divide a set of elements into groups,mark the boundary,isolate constituent parts of a non-physical object,put into containers,cause to move or be apart,distribute among others,distribute among themselves
English: divide,X,X,X,X,X,.,X,X
English: share,.,.,.,.,.,.,X,X
English: split,X,X,X,X,.,X,X,X
English: separate,.,X,X,X,X,X,.,.
Spanish : repartirse,.,.,.,.,.,.,.,X
French : distribuer,X,X,.,.,.,.,X,.
English : part,X,.,.,.,.,X,X,.
English : sever,X,.,.,.,.,X,.,X
English : dispense,.,.,.,.,X,X,X,.
English : allot,.,X,.,.,.,X,X,X
English : apportion,.,.,.,.,X,.,X,X
English : deal,.,.,.,.,X,X,X,X
English : dissect,X,.,.,X,.,X,.,.
English : carve,X,.,.,X,X,.,.,X
English : allocate,.,X,.,X,X,.,X,.
English : cleave,X,.,.,X,.,X,.,X
English : sift,.,.,.,X,X,X,X,.
English : parcel,.,.,.,X,X,X,X,X
English : boundary,.,.,X,.,.,.,.,.
English : demarcate,.,X,X,.,.,.,.,X
English : delimit,.,.,X,.,X,.,X,.
English : partition,.,X,X,.,.,.,X,X
English : bisect,X,.,X,.,.,X,.,.
English : divorce,.,X,X,.,.,X,.,X
English : segregate,.,X,X,.,.,X,X,.
English : compartmentalize,.,.,X,X,X,.,.,X
English : section,.,X,X,X,X,.,X,X
English : sort,.,X,X,.,X,X,.,.
English : categorize,X,.,X,X,.,.,X,.
English : isolate,.,.,X,X,.,X,.,.
English : dissociate,.,.,X,X,.,X,.,X
English : prune,.,.,X,X,X,X,X,.
English : batch,.,X,.,.,X,X,.,X
English : assign,.,X,.,.,X,X,X,.
English : classify,.,X,.,.,X,.,X,X
English : consign,.,X,.,.,X,X,X,X
English : subdivide,X,X,.,X,.,.,.,X
English : triangulate,.,X,.,X,.,.,X,X
English : portion,X,X,.,X,X,.,.,X
English : package,.,X,.,X,X,X,X,X
English : detach,.,X,X,.,.,X,X,X
English : compartment,.,X,X,.,X,X,.,X
English : differentiate,.,X,X,X,.,X,X,X
English : cut,X,.,.,.,.,X,X,X
English : slice,X,.,.,.,X,X,.,.
English : chop,X,.,.,.,X,X,X,.
English : fracture,X,.,.,X,.,X,X,.
English : dice,X,.,X,.,X,X,.,.
English : rupture,X,X,.,.,X,X,.,.
English : shred,X,X,.,.,X,X,X,.
English : fraction,X,X,.,X,X,.,.,.
English : fillet,X,X,.,X,X,.,X,.
English : quarter,X,X,X,.,X,.,.,.
English : tear,X,X,X,.,X,X,.,.
