,divide a single physical object into constituent parts,divide a set of elements into groups,mark the boundary,isolate constituent parts of a non-physical object,put into containers,cause to move or be apart,distribute among others,distribute among themselves
English: divide,X,X,X,X,X,.,X,X
English: share,.,.,.,.,.,.,X,X
English: split,X,X,X,X,.,X,X,X
English: separate,.,X,X,X,X,X,.,.
Portuguese : ratear,.,.,.,.,.,.,.,X
Spanish : repartir,X,X,.,.,X,.,X,.
English : disperse,.,X,.,.,.,X,.,.
French : doser,.,.,.,.,X,.,.,.
French : répartir,X,X,.,.,X,.,X,X
German : verteilen,.,X,.,.,X,.,X,.
English : scatter,.,X,.,.,X,X,.,.
English : compartmentalize,X,.,.,X,.,.,.,.
English : apportion,.,.,.,X,.,.,X,X
English : allot,.,X,.,X,.,.,X,.
English : dissociate,.,.,.,X,.,X,.,.
English : sever,.,.,.,X,X,X,.,X
English : dispense,.,.,.,X,X,X,X,.
English : parcel,.,.,.,X,X,X,X,X
English : demarcate,.,X,X,.,.,.,.,.
Portuguese : dividir,X,X,X,X,X,X,.,X
German : aufteilen,.,X,.,.,X,.,X,X
English : partition,.,X,X,.,.,X,.,X
English : distribute,.,X,.,.,.,X,X,.
German : teilen,.,X,.,.,X,X,X,X
German : sortieren,.,X,.,.,X,X,X,.
German : unterteilen,.,X,.,X,X,X,.,X
English : prorate,.,X,.,X,.,.,X,X
German : trennen,.,X,.,X,X,X,X,.
Dutch : scheiden,.,X,.,X,.,X,X,X
Italian : suddividere,.,X,.,X,X,.,X,X
German : aussortieren,.,X,.,X,X,X,X,X
German : grenzen,.,X,X,.,.,.,X,.
Dutch : afbakenen,.,X,X,.,.,X,X,.
French : morceler,X,.,.,.,X,.,.,X
French : fractionner,X,.,.,.,X,.,X,.
French : couper,X,.,.,.,X,.,X,X
French : fendre,X,.,.,.,X,X,.,.
French : scinder,X,.,.,.,X,X,.,X
French : sectionner,X,.,.,.,X,X,X,.
French : trancher,X,.,.,.,X,X,X,X
French : découper,X,.,.,X,X,X,X,.
French : segmenter,X,.,X,.,X,X,X,.
French : séparer,X,X,.,.,X,X,.,.
Spanish : desmembrar,X,X,.,.,X,X,X,.
