,divide a single physical object into constituent parts,divide a set of elements into groups,mark the boundary,isolate constituent parts of a non-physical object,put into containers,cause to move or be apart,distribute among others,distribute among themselves
English: divide,X,X,X,X,X,.,X,X
English: share,.,.,.,.,.,.,X,X
English: split,X,X,X,X,.,X,X,X
English: separate,.,X,X,X,X,X,.,.
French : se répartir,.,X,.,X,.,.,.,X
English : allot,.,X,.,.,.,.,X,.
English : disperse,.,X,.,.,.,X,.,.
English : portion,.,.,.,.,X,.,X,.
English : parcel,.,.,.,.,X,.,X,X
English : scatter,.,X,.,.,X,X,.,.
German : unterteilen,X,.,.,X,X,.,X,X
English : apportion,.,X,.,X,.,.,X,.
Spanish : repartir,.,X,.,X,.,.,X,X
English : dissociate,X,.,.,X,.,X,.,.
French : dissocier,.,.,.,X,.,X,.,X
English : dispense,.,.,.,X,X,X,X,.
English : distribute,.,.,.,X,X,X,X,X
English : delimit,.,X,X,.,.,.,.,.
English : deal,.,X,.,.,.,.,X,X
English : sever,X,X,.,.,.,X,.,X
English : dispel,.,X,.,.,.,X,X,.
Italian : spartire,.,X,.,.,.,X,X,X
English : allocate,.,X,.,.,X,.,X,X
English : assign,.,X,X,.,X,.,X,.
English : compartmentalize,.,X,.,X,X,X,.,X
English : batch,.,X,.,.,X,X,X,.
English : sort,.,X,.,.,X,X,X,X
English : categorize,.,X,.,X,.,X,X,.
English : partition,.,X,X,X,.,X,X,X
English : package,.,X,.,X,X,X,X,.
English : segment,.,X,.,X,X,X,X,X
English : demarcate,.,X,X,.,.,.,.,X
English : classify,.,X,X,.,.,X,X,X
English : boundary,.,X,X,.,.,X,X,.
English : subdivide,X,X,X,.,X,.,.,X
English : carve,X,X,X,.,X,.,X,X
English : section,X,X,X,.,X,X,.,.
English : label,.,X,X,.,X,X,X,.
English : slice,X,X,X,.,X,X,X,X
English : delineate,.,X,X,X,.,.,X,.
English : dispatch,.,X,X,X,X,X,X,.
French : répartir,.,X,X,X,X,.,X,X
French : dispatcher,.,X,X,X,X,X,X,X
English : chop,X,.,.,.,X,X,X,.
English : cleave,X,.,.,.,.,X,.,X
English : fracture,X,.,.,X,.,X,X,X
English : prorate,X,.,.,.,X,X,.,X
English : fragment,X,.,.,X,X,X,X,X
English : dice,X,.,.,X,X,X,.,.
English : saw,X,.,X,.,.,X,.,.
English : tear,X,.,X,.,.,X,.,X
English : cut,X,.,X,.,.,X,X,.
English : slash,X,.,X,.,.,X,X,X
English : crack,X,.,X,X,.,X,.,.
English : mince,X,X,.,.,X,X,X,.
English : dissever,X,X,.,.,.,X,X,X
English : shred,X,X,.,X,X,X,.,.
English : fraction,X,X,.,X,X,X,X,X
English : bisect,X,X,X,.,.,.,X,.
English : truncate,X,X,X,.,X,X,X,.
English : intersect,X,X,X,X,.,.,.,.
