,divide a single physical object into constituent parts,divide a set of elements into groups,mark the boundary,isolate constituent parts of a non-physical object,put into containers,cause to move or be apart,distribute among others,distribute among themselves
English: divide,X,X,X,X,X,.,X,X
English: share,.,.,.,.,.,.,X,X
English: split,X,X,X,X,.,X,X,X
English: separate,.,X,X,X,X,X,.,.
English : share,.,X,.,.,X,.,X,.
English : separate,.,X,.,X,.,X,.,.
English : boundary,.,.,X,.,X,.,.,.
English : allot,.,.,X,.,X,.,X,.
French : répartir,.,.,X,.,X,.,X,X
Spanish : distribuir,.,X,.,.,.,.,X,X
English : Sort,.,X,.,.,X,.,X,X
Spanish : clasificar,.,X,.,X,.,.,X,.
French : Répartir,.,X,.,X,X,X,X,X
English : Separate,.,X,X,X,.,X,X,.
French : Classifier,.,X,X,X,X,.,X,.
Spanish : Clasificar,.,X,.,X,X,X,X,.
Spanish : delimitar,.,X,X,X,.,.,X,X
French : dissocier,.,X,X,X,.,X,X,X
German : Kategorisieren,.,X,X,X,X,X,X,X
English : chop,X,.,.,.,X,X,.,.
French : découper,X,.,.,.,X,.,X,.
Spanish : partir,X,.,.,.,.,X,X,X
French : disperser,X,.,.,.,X,X,X,.
English : cut,X,.,X,.,X,X,.,.
Spanish : segregar,X,.,X,.,X,.,X,.
Spanish : repartir,X,.,X,.,.,X,X,X
Spanish : segmentar,X,X,.,.,.,.,.,.
Dutch : splitsen,X,X,.,.,X,X,X,.
Spanish : Distribuir,X,X,.,.,X,.,X,X
English : dissect,X,X,.,X,.,.,.,.
Spanish : desmembrar,X,X,.,X,.,.,X,.
French : compartimenter,X,X,.,X,X,.,.,.
