,divide a single physical object into constituent parts,divide a set of elements into groups,mark the boundary,isolate constituent parts of a non-physical object,put into containers,cause to move or be apart,distribute among others,distribute among themselves
English: divide,X,X,X,X,X,.,X,X
English: share,.,.,.,.,.,.,X,X
English: split,X,X,X,X,.,X,X,X
English: separate,.,X,X,X,X,X,.,.
English : separate,.,X,.,.,X,X,X,.
English : pack,.,.,.,.,X,X,.,.
English : Sort,.,X,.,.,X,.,X,X
English : scatter,.,.,.,.,X,X,X,X
English : share,.,X,.,.,X,X,X,X
French : répartir,.,X,X,X,X,.,X,X
French : Classifier,.,X,X,X,.,X,X,X
Spanish : Organizar,.,X,X,X,X,X,X,X
English : chop,X,.,.,.,X,X,.,.
Spanish : partir,X,.,.,.,.,X,X,X
French : Répartir,X,.,.,.,X,X,X,X
French : découper,X,X,.,.,.,X,.,.
Spanish : Dividir,X,X,.,.,.,X,X,X
English : partition,X,X,X,.,X,.,.,.
German : trennen,X,X,X,X,.,X,.,.
