,divide a single physical object into constituent parts,divide a set of elements into groups,mark the boundary,isolate constituent parts of a non-physical object,put into containers,cause to move or be apart,distribute among others,distribute among themselves
English: divide,X,X,X,X,X,.,X,X
English: share,.,.,.,.,.,.,X,X
English: split,X,X,X,X,.,X,X,X
English: separate,.,X,X,X,X,X,.,.
English : allot,.,X,.,.,.,.,X,.
English : separate,X,X,.,.,X,X,.,.
English : pack,.,.,.,.,X,X,.,.
French : ranger,.,.,.,.,X,X,X,.
French : répartir,.,X,.,.,X,X,X,X
English : boundary,.,.,X,.,X,.,.,.
English : share,.,.,X,.,X,.,X,.
Spanish : delimitar,.,.,X,.,.,.,X,X
Spanish : distribuir,.,X,X,.,X,X,X,.
English : allocate,.,X,X,.,X,X,X,X
French : dissocier,.,X,X,X,.,.,X,.
Spanish : segregar,.,X,X,X,X,.,X,X
German : trennen,.,X,X,X,.,X,X,X
English : Sort,X,X,X,X,X,.,X,.
"Spanish : desmembrar does not apply, instead use Spanish : segmentar",.,X,X,X,X,X,X,X
English : chop,X,.,.,.,X,X,.,.
English : cleave,X,.,.,.,.,X,X,.
Spanish : partir,X,.,.,.,.,X,X,X
English : partition,X,X,.,.,X,.,X,.
French : découper,X,.,.,.,X,X,X,.
English : cut,X,.,X,.,.,X,.,.
Spanish : dividir,X,X,.,.,.,X,X,X
French : Répartir,X,X,.,.,X,X,X,X
English : sever,X,X,X,.,.,X,.,.
