,divide a single physical object into constituent parts,divide a set of elements into groups,mark the boundary,isolate constituent parts of a non-physical object,put into containers,cause to move or be apart,distribute among others,distribute among themselves
English: divide,X,X,X,X,X,.,X,X
English: share,.,.,.,.,.,.,X,X
English: split,X,X,X,X,.,X,X,X
English: separate,.,X,X,X,X,X,.,.
English : separate,X,X,.,.,X,X,.,.
English : border,.,.,X,.,.,X,.,.
English : allot,.,.,X,.,X,X,X,X
English : Sort,.,X,.,.,X,.,X,X
English : disseminate,.,X,.,.,X,X,X,X
French : dissocier,.,X,X,X,.,X,X,X
French : Classifier,.,X,X,X,X,X,X,X
English : share,X,X,.,.,X,X,X,X
French : découper,X,X,X,X,X,.,.,.
French : séparer,X,X,X,X,.,X,.,.
German : trennen,X,X,X,X,X,X,.,.
