,divide a single physical object into constituent parts,divide a set of elements into groups,mark the boundary,isolate constituent parts of a non-physical object,put into containers,cause to move or be apart,distribute among others,distribute among themselves
English: divide,X,X,X,X,X,.,X,X
English: share,.,.,.,.,.,.,X,X
English: split,X,X,X,X,.,X,X,X
English: separate,.,X,X,X,X,X,.,.
English : share,X,.,.,.,X,.,X,.
English : separate,X,X,.,.,X,X,.,.
English : allot,.,.,.,.,X,.,X,X
English : boundary,.,.,X,.,X,.,.,.
French : répartir,.,.,X,.,.,.,X,X
Spanish : delimitar,.,.,X,.,X,.,X,.
English : allocate,.,.,X,.,X,X,X,X
Spanish : asignar,.,X,.,.,.,.,X,.
Spanish : distribuir,.,X,.,.,X,X,X,X
English : Sort,.,X,X,.,X,.,X,.
French : dissocier,.,X,X,X,.,.,X,.
Spanish : clasificar,.,X,X,X,X,.,X,.
Spanish : desmembrar,X,.,.,.,.,X,X,X
French : dispenser,X,.,.,.,X,X,X,.
French : Répartir,X,.,.,.,X,X,X,X
English : cut,X,.,X,.,X,X,.,.
French : découper,X,.,X,.,X,.,X,.
Spanish : dividir,X,X,.,.,X,.,X,.
Spanish : Distribuir,X,X,.,.,X,X,X,X
English : chop,X,X,X,.,X,X,.,.
French : séparer,X,X,X,.,.,X,X,.
Spanish : Segregar,X,X,X,.,.,X,X,X
