,divide a single physical object into constituent parts,divide a set of elements into groups,mark the boundary,isolate constituent parts of a non-physical object,put into containers,cause to move or be apart,distribute among others,distribute among themselves
English: divide,X,X,X,X,X,.,X,X
English: share,.,.,.,.,.,.,X,X
English: split,X,X,X,X,.,X,X,X
English: separate,.,X,X,X,X,X,.,.
English : share,X,.,.,X,.,.,X,.
English : separate,X,X,.,.,X,X,X,X
English : pack,.,.,.,.,X,X,.,.
English : Sort,.,X,.,.,X,.,X,.
English : Scatter,.,.,.,.,X,X,X,.
English : scatter,.,.,.,.,X,X,X,X
English : classify,.,X,.,X,.,.,X,.
English : Share,.,.,.,X,.,.,X,X
English : dissociate,.,.,.,X,.,X,.,X
English : Separate,.,X,.,X,.,X,X,.
English : compartmentalize,X,.,.,X,X,.,.,.
English : Classify,.,X,.,X,X,.,X,.
English : Disperse,.,.,.,X,X,X,X,X
English : Dispense,.,.,.,X,X,X,X,.
English : border,.,.,X,.,.,.,.,.
English : allot,.,X,X,.,.,.,X,.
English : sever,X,.,X,.,.,X,.,.
English : Demarcate,.,.,X,.,.,X,X,.
English : categorize,.,X,.,X,.,.,X,X
English : Allocate,.,X,.,.,X,X,X,X
English : partition,.,X,X,.,X,X,.,.
English : Categorize,.,X,X,.,X,.,X,.
English : Disseminate,X,.,.,.,.,.,X,X
English : dispense,X,.,.,.,X,X,X,.
English : Sow,X,.,.,.,.,X,X,X
English : Deal,X,.,.,.,X,.,X,X
English : chop,X,.,.,.,X,X,.,.
English : split,X,.,.,X,.,X,.,.
English : disjoint,X,X,.,X,.,X,X,.
English : Slice,X,.,X,.,X,.,.,.
English : cleave,X,X,X,.,X,X,.,.
English : Pack,X,X,.,.,X,.,X,.
English : Subdivide,X,X,X,X,X,.,.,.
