,divide a single physical object into constituent parts,divide a set of elements into groups,mark the boundary,isolate constituent parts of a non-physical object,put into containers,cause to move or be apart,distribute among others,distribute among themselves
English: divide,X,X,X,X,X,.,X,X
English: share,.,.,.,.,.,.,X,X
English: split,X,X,X,X,.,X,X,X
English: separate,.,X,X,X,X,X,.,.
English : Share,X,.,.,X,.,.,X,.
English : separate,X,X,.,.,X,X,X,X
English : pack,.,.,.,.,X,X,.,.
English : allot,.,X,.,.,X,.,X,.
English : Sort,.,X,.,.,X,X,X,.
English : Allocate,.,.,.,X,.,.,X,X
English : dissociate,.,.,.,X,.,X,.,X
English : Separate,.,.,.,X,X,X,X,.
English : Disseminate,.,.,.,X,.,X,X,X
English : dispense,.,.,.,X,X,X,X,X
English : border,.,.,X,.,.,.,.,.
English : fence,.,.,X,.,.,.,X,.
English : apportion,.,X,X,.,.,.,X,X
English : sever,X,.,X,.,.,X,.,.
English : allocate,.,.,X,.,.,X,X,X
English : bottle,.,.,X,.,X,.,.,.
English : Package,.,.,X,.,X,.,X,.
English : Dispense,.,.,X,.,X,.,X,X
English : segregate,.,X,X,.,X,X,.,.
English : delineate,.,.,X,X,.,.,.,.
English : boundary,.,.,X,X,.,.,X,.
English : compartmentalize,.,.,X,X,X,.,.,.
English : Classify,.,X,X,X,X,.,X,.
English : Disperse,.,X,.,.,.,X,X,X
English : Distribute,.,X,.,.,X,X,X,X
English : categorize,.,X,.,X,.,.,.,.
English : Categorize,.,X,.,X,.,.,X,.
English : share,.,X,.,X,.,.,X,X
English : disengage,.,X,.,X,.,X,.,.
English : Scatter,.,X,.,X,.,X,X,.
English : classify,.,X,X,X,.,.,X,X
English : dispatch,.,X,X,X,X,X,X,X
English : Deal,X,.,.,.,.,.,X,X
English : scatter,X,.,.,.,.,X,X,.
English : shred,X,.,.,.,X,X,X,X
English : chop,X,.,.,.,X,.,.,.
English : Pack,X,.,.,.,X,.,X,.
English : dissect,X,.,.,X,X,X,.,.
English : cleave,X,.,.,X,.,X,X,.
English : Segment,X,.,.,X,X,X,X,X
English : Allot,X,.,X,.,.,.,X,.
English : slice,X,.,X,.,X,.,.,.
English : Chop,X,X,.,.,X,.,.,.
