,divide a single physical object into constituent parts,divide a set of elements into groups,mark the boundary,isolate constituent parts of a non-physical object,put into containers,cause to move or be apart,distribute among others,distribute among themselves
English: divide,X,X,X,X,X,.,X,X
English: share,.,.,.,.,.,.,X,X
English: split,X,X,X,X,.,X,X,X
English: separate,.,X,X,X,X,X,.,.
English : allot,.,X,.,.,.,.,X,.
English : separate,X,.,.,.,X,X,X,X
English : Share,.,.,.,.,.,X,X,X
English : dispense,.,.,.,.,X,.,X,X
English : Sort,.,X,.,.,X,X,X,.
English : Scatter,.,.,.,.,X,X,X,X
English : analyze,X,.,.,X,.,.,.,.
English : Disseminate,.,.,.,X,.,.,X,.
English : Allocate,.,.,.,X,.,.,X,X
English : dissociate,.,.,.,X,.,X,.,.
English : Separate,.,.,X,X,.,X,X,.
English : compartmentalize,.,.,.,X,X,.,.,.
English : Classify,.,X,.,X,X,.,X,.
English : Dispense,.,.,.,X,X,X,X,.
English : Distribute,.,.,X,X,X,X,X,X
English : Categorize,.,X,X,X,X,.,X,.
English : segregate,.,X,X,X,.,X,X,.
English : chop,X,.,.,.,X,.,.,.
English : Package,X,.,.,.,X,.,X,.
English : Dissect,X,.,.,X,.,.,X,.
English : saw,X,.,X,.,.,.,.,.
English : sever,X,.,X,.,.,.,X,.
English : Slice,X,.,X,.,X,.,.,.
English : Pack,X,.,X,.,X,.,X,.
English : bisect,X,X,X,.,.,.,.,.
