,divide a single physical object into constituent parts,divide a set of elements into groups,mark the boundary,isolate constituent parts of a non-physical object,put into containers,cause to move or be apart,distribute among others,distribute among themselves
English: divide,X,X,X,X,X,.,X,X
English: share,.,.,.,.,.,.,X,X
English: split,X,X,X,X,.,X,X,X
English: separate,.,X,X,X,X,X,.,.
English : allot,.,X,.,.,.,.,X,.
English : Separate,X,X,.,.,X,X,X,.
English : pack,.,.,.,.,X,X,.,.
English : Sort,.,X,.,.,X,.,X,.
English : Disperse,.,.,.,.,X,X,X,X
English : analyze,X,.,.,X,.,.,.,.
English : dispense,.,.,.,X,X,X,X,.
English : Share,.,.,.,X,X,X,X,X
English : boundary,.,.,X,.,.,.,.,.
English : border,.,.,X,.,.,.,X,.
English : share,.,.,X,.,.,.,X,X
English : separate,X,.,X,.,X,X,X,.
English : allocate,.,.,X,.,X,X,X,X
English : Parse,X,.,X,X,.,.,.,.
English : apportion,.,.,X,X,.,.,X,.
English : Allocate,.,.,X,X,X,.,X,X
English : sever,X,.,X,X,.,X,.,.
English : Demarcate,.,.,X,X,.,X,X,.
English : deal,.,X,.,.,.,.,X,X
English : dispatch,.,X,.,.,.,X,X,X
English : Classify,.,X,.,.,X,.,X,X
English : Dispatch,.,X,.,.,X,X,X,.
English : Distribute,.,X,.,.,X,X,X,X
English : categorize,.,X,.,X,.,.,.,X
English : classify,.,X,.,X,.,.,X,.
English : section,.,X,X,X,.,.,X,.
English : compartmentalize,.,X,X,X,.,.,X,X
English : disseminate,.,X,X,X,X,X,X,.
English : Categorize,.,X,X,X,X,X,X,X
English : Dispense,X,.,.,.,X,.,X,X
English : Scatter,X,.,.,.,X,X,X,X
English : Dissect,X,.,.,X,.,.,X,.
English : Disseminate,X,.,.,X,.,X,X,X
English : Slice,X,.,X,X,X,.,.,.
English : dissect,X,.,X,X,.,.,X,.
English : dissociate,X,.,X,X,.,X,X,.
English : Pack,X,.,X,X,X,.,X,.
English : chop,X,X,X,X,.,.,.,.
English : Split,X,X,.,.,.,X,X,X
English : split,X,X,.,.,X,X,.,.
English : Parcel,X,X,.,.,X,.,X,X
