,divide a single physical object into constituent parts,divide a set of elements into groups,mark the boundary,isolate constituent parts of a non-physical object,put into containers,cause to move or be apart,distribute among others,distribute among themselves
English: divide,X,X,X,X,X,.,X,X
English: share,.,.,.,.,.,.,X,X
English: split,X,X,X,X,.,X,X,X
English: separate,.,X,X,X,X,X,.,.
English : share,X,.,.,.,.,.,X,.
English : separate,X,X,.,X,X,X,X,X
English : pack,.,.,.,.,X,.,.,.
English : Sort,.,X,.,.,X,.,X,.
English : scatter,.,.,.,.,X,X,X,X
English : Scatter,.,.,.,.,X,X,X,.
English : analyze,X,.,.,X,.,.,.,.
English : classify,.,X,.,X,.,.,X,.
English : dissociate,.,.,.,X,.,X,.,.
English : Separate,.,.,X,X,.,X,X,.
English : Analyze,.,.,.,X,.,X,X,X
English : compartmentalize,X,.,.,X,X,.,.,.
English : Pack,.,.,.,X,X,.,X,.
English : allot,.,.,X,X,X,.,X,X
English : displace,.,.,.,X,X,X,.,.
English : Disperse,.,.,.,X,X,X,X,.
English : Classify,.,X,X,X,X,.,X,.
English : sequester,.,.,X,X,X,X,.,.
English : Dispense,.,.,X,X,X,X,X,.
English : Share,.,X,.,.,.,.,X,X
English : disperse,.,X,.,.,.,X,X,.
English : Allocate,.,X,.,.,X,X,X,X
English : categorize,.,X,.,X,X,.,X,X
English : section,.,X,X,.,X,.,.,.
English : assign,.,X,X,.,.,.,X,.
English : apportion,.,X,X,.,.,.,X,X
English : Segregate,.,X,X,.,.,X,X,.
English : Categorize,.,X,X,X,.,.,X,X
English : chop,X,.,.,.,X,.,.,.
English : saw,X,.,X,.,.,.,.,.
English : Demarcate,X,.,X,.,.,.,X,.
English : Deal,X,.,X,.,.,.,X,X
English : Section,X,.,X,.,X,.,.,.
