,divide a single physical object into constituent parts,divide a set of elements into groups,mark the boundary,isolate constituent parts of a non-physical object,put into containers,cause to move or be apart,distribute among others,distribute among themselves
English: divide,X,X,X,X,X,.,X,X
English: share,.,.,.,.,.,.,X,X
English: split,X,X,X,X,.,X,X,X
English: separate,.,X,X,X,X,X,.,.
English : allot,.,X,.,.,.,.,X,.
English : separate,X,X,.,X,X,X,X,X
English : pack,.,.,.,.,X,.,.,.
English : Sort,.,X,.,.,X,.,X,.
English : scatter,.,.,.,.,X,X,X,.
English : Scatter,.,.,.,.,X,X,X,X
English : borderline,.,.,X,.,.,.,.,.
English : boundary,.,.,X,.,.,.,X,.
English : apportion,.,.,X,.,.,.,X,X
English : sever,X,.,X,.,.,X,.,.
English : Separate,.,.,X,X,.,X,X,.
English : bottle,.,.,X,.,X,.,.,.
English : Package,.,.,X,.,X,.,X,.
English : border,.,.,X,.,X,.,X,X
English : sift,.,.,X,.,X,X,X,.
English : Dispense,.,X,.,.,X,.,X,X
English : Classify,.,X,X,X,.,.,X,.
English : classify,.,X,.,X,.,.,X,X
English : Disperse,.,X,.,X,.,X,X,.
English : Allocate,.,X,.,X,.,X,X,X
English : Categorize,.,X,.,X,X,.,X,.
English : Distribute,.,X,.,X,X,X,X,X
English : categorize,.,X,X,.,.,.,X,.
English : parcel,.,X,X,.,X,.,X,X
English : dissociate,.,X,X,X,.,X,X,.
English : File,.,X,X,X,X,X,X,.
English : share,X,.,.,.,.,.,X,.
English : Share,X,.,.,.,.,.,X,X
English : Broadcast,X,.,.,.,X,X,X,.
English : Pack,X,.,.,.,X,.,X,X
English : disjoint,X,.,X,.,X,X,.,.
English : chop,X,X,X,.,X,X,.,.
English : Carve,X,X,.,.,.,.,X,.
