,divide a single physical object into constituent parts,divide a set of elements into groups,mark the boundary,isolate constituent parts of a non-physical object,put into containers,cause to move or be apart,distribute among others,distribute among themselves
English: divide,X,X,X,X,X,.,X,X
English: share,.,.,.,.,.,.,X,X
English: split,X,X,X,X,.,X,X,X
English: separate,.,X,X,X,X,X,.,.
English : share,X,.,.,.,.,.,X,.
English : Separate,X,X,.,.,X,X,X,.
English : pack,.,.,.,.,X,X,.,.
English : allot,.,X,.,.,X,.,X,.
English : scatter,.,X,.,.,X,X,X,.
English : analyze,X,.,.,X,.,.,.,.
English : allocate,.,X,.,X,.,.,X,.
English : separate,X,.,.,X,X,X,X,X
English : disperse,.,.,.,X,.,X,X,X
English : Sort,.,X,.,X,X,.,X,.
English : Allocate,.,.,.,X,X,.,X,X
English : Disperse,.,.,.,X,X,X,X,.
English : File,.,.,X,X,X,X,X,X
English : Share,.,X,.,.,.,.,X,X
English : Scatter,.,X,.,.,.,X,X,X
English : Dispense,.,X,.,.,X,.,X,X
English : Classify,.,X,.,X,X,X,X,X
English : Border,.,X,X,.,.,X,.,.
English : classify,.,X,X,.,.,.,X,.
English : categorize,.,X,X,X,.,.,X,.
English : Categorize,.,X,X,X,.,.,X,X
English : Deal,X,.,.,.,.,.,X,X
English : split,X,X,.,.,X,X,.,.
English : Shed,X,.,.,.,.,X,X,X
English : Parcel,X,.,.,.,X,.,X,X
English : dissect,X,.,.,X,.,X,.,.
English : Disassemble,X,.,.,X,X,.,.,.
English : partition,X,.,X,X,X,X,.,.
English : Segregate,X,.,X,X,X,X,X,X
English : Distribute,X,X,.,.,X,X,X,X
English : section,X,X,X,X,.,.,.,.
English : Chop,X,X,X,.,.,X,.,.
English : Section,X,X,X,.,.,.,X,.
English : Partition,X,X,X,.,.,X,X,X
English : compartmentalize,X,X,X,X,X,X,.,.
